"group","osp_status","rf_sim","n","nstocks","nstrategic","pstrategic"
"Porpoises","Unknown",0.95,1,1,0,0
"Porpoises","Unknown",0.96,1,1,0,0
"Porpoises","Unknown",0.97,1,1,0,0
"Porpoises","Unknown",0.98,1,1,0,0
"Porpoises","Unknown",0.99,1,1,0,0
"Porpoises","Unknown",1,1,1,0,0
"Small whales","Non-depleted",0.5,21,21,1,0.0476190476190476
"Small whales","Non-depleted",0.51,21,21,1,0.0476190476190476
"Small whales","Non-depleted",0.52,21,21,1,0.0476190476190476
"Small whales","Non-depleted",0.53,21,21,1,0.0476190476190476
"Small whales","Non-depleted",0.54,21,21,1,0.0476190476190476
"Small whales","Non-depleted",0.55,21,21,1,0.0476190476190476
"Small whales","Non-depleted",0.56,21,21,1,0.0476190476190476
"Small whales","Non-depleted",0.57,21,21,0,0
"Small whales","Non-depleted",0.58,21,21,0,0
"Small whales","Non-depleted",0.59,21,21,0,0
"Small whales","Non-depleted",0.6,21,21,0,0
"Small whales","Non-depleted",0.61,21,21,0,0
"Small whales","Non-depleted",0.62,21,21,0,0
"Small whales","Non-depleted",0.63,21,21,0,0
"Small whales","Non-depleted",0.64,21,21,0,0
"Small whales","Non-depleted",0.65,21,21,0,0
"Small whales","Non-depleted",0.66,21,21,0,0
"Small whales","Non-depleted",0.67,21,21,0,0
"Small whales","Non-depleted",0.68,21,21,0,0
"Small whales","Non-depleted",0.69,21,21,0,0
"Small whales","Non-depleted",0.7,21,21,0,0
"Small whales","Non-depleted",0.71,21,21,0,0
"Small whales","Non-depleted",0.72,21,21,0,0
"Small whales","Non-depleted",0.73,21,21,0,0
"Small whales","Non-depleted",0.74,21,21,0,0
"Small whales","Non-depleted",0.75,21,21,0,0
"Small whales","Non-depleted",0.76,21,21,0,0
"Small whales","Non-depleted",0.77,21,21,0,0
"Small whales","Non-depleted",0.78,21,21,0,0
"Small whales","Non-depleted",0.79,21,21,0,0
"Small whales","Non-depleted",0.8,21,21,0,0
"Small whales","Non-depleted",0.81,21,21,0,0
"Small whales","Non-depleted",0.82,21,21,0,0
"Small whales","Non-depleted",0.83,21,21,0,0
"Small whales","Non-depleted",0.84,21,21,0,0
"Small whales","Non-depleted",0.85,21,21,0,0
"Small whales","Non-depleted",0.86,21,21,0,0
"Small whales","Non-depleted",0.87,21,21,0,0
"Small whales","Non-depleted",0.88,21,21,0,0
"Small whales","Non-depleted",0.89,21,21,0,0
"Small whales","Non-depleted",0.9,21,21,0,0
"Small whales","Non-depleted",0.91,21,21,0,0
"Small whales","Non-depleted",0.92,21,21,0,0
"Small whales","Non-depleted",0.93,21,21,0,0
"Small whales","Non-depleted",0.94,21,21,0,0
"Small whales","Non-depleted",0.95,21,21,0,0
"Small whales","Non-depleted",0.96,21,21,0,0
"Small whales","Non-depleted",0.97,21,21,0,0
"Small whales","Non-depleted",0.98,21,21,0,0
"Small whales","Non-depleted",0.99,21,21,0,0
"Small whales","Non-depleted",1,21,21,0,0
"Small whales","Unknown",0.5,20,20,1,0.05
"Small whales","Unknown",0.51,20,20,1,0.05
"Small whales","Unknown",0.52,20,20,1,0.05
"Small whales","Unknown",0.53,20,20,1,0.05
"Small whales","Unknown",0.54,20,20,1,0.05
"Small whales","Unknown",0.55,20,20,1,0.05
"Small whales","Unknown",0.56,20,20,1,0.05
"Small whales","Unknown",0.57,20,20,1,0.05
"Small whales","Unknown",0.58,20,20,1,0.05
"Small whales","Unknown",0.59,20,20,1,0.05
"Small whales","Unknown",0.6,20,20,1,0.05
"Small whales","Unknown",0.61,20,20,1,0.05
"Small whales","Unknown",0.62,20,20,1,0.05
"Small whales","Unknown",0.63,20,20,1,0.05
"Small whales","Unknown",0.64,20,20,1,0.05
"Small whales","Unknown",0.65,20,20,1,0.05
"Small whales","Unknown",0.66,20,20,1,0.05
"Small whales","Unknown",0.67,20,20,1,0.05
"Small whales","Unknown",0.68,20,20,1,0.05
"Small whales","Unknown",0.69,20,20,1,0.05
"Small whales","Unknown",0.7,20,20,1,0.05
"Small whales","Unknown",0.71,20,20,1,0.05
"Small whales","Unknown",0.72,20,20,1,0.05
"Small whales","Unknown",0.73,20,20,1,0.05
"Small whales","Unknown",0.74,20,20,1,0.05
"Small whales","Unknown",0.75,20,20,1,0.05
"Small whales","Unknown",0.76,20,20,1,0.05
"Small whales","Unknown",0.77,20,20,0,0
"Small whales","Unknown",0.78,20,20,0,0
"Small whales","Unknown",0.79,20,20,0,0
"Small whales","Unknown",0.8,20,20,0,0
"Small whales","Unknown",0.81,20,20,0,0
"Small whales","Unknown",0.82,20,20,0,0
"Small whales","Unknown",0.83,20,20,0,0
"Small whales","Unknown",0.84,20,20,0,0
"Small whales","Unknown",0.85,20,20,0,0
"Small whales","Unknown",0.86,20,20,0,0
"Small whales","Unknown",0.87,20,20,0,0
"Small whales","Unknown",0.88,20,20,0,0
"Small whales","Unknown",0.89,20,20,0,0
"Small whales","Unknown",0.9,20,20,0,0
"Small whales","Unknown",0.91,20,20,0,0
