"region_orig","fishery","n"
"High seas","Atlantic highly migratory species",3
"High seas","CCAMLR",32
"High seas","Northwest Atlantic",9
"High seas","Northwest Atlantic Bottom Longline",9
"High seas","Northwest Atlantic bottom longline",1
"High seas","Northwest Atlantic permits",1
"High seas","Pacific Highly Migratory Species",98
"High seas","Pacific highly migratory species",5
"High seas","South Pacific Albacore Troll",67
"High seas","South Pacific Tuna Fisheries",41
"High seas","South Pacific albacore troll",3
"High seas","South Pacific tuna fisheries",1
"High seas","Unspecified",6
"High seas","Wester Pacific Pelagic",1
"High seas","Western Pacific Pelagic",73
"High seas","Western Pacific Pelagic (Deep-set component)",3
"High seas","Western Pacific Pelagic (HI Deep-set component)",12
"High seas","Western Pacific Pelagic (HI Deep-set component) permits",1
"High seas","Western Pacific Pelagic (HI Shallow-set component)",12
"High seas","Western Pacific Pelagic (Shallow-set component)",3
"High seas","Western Pacific Pelagic permits",1
"High seas","Western Pacific pelagic",3
"High seas","Western Pacific pelagic (HI Shallow-set component)",1
"High seas","Western and Central Pacific Ocean Tuna Purse Seine",2
"High seas","Western and Central Pacific ocean tuna purse seine",1
"Pacific","AK Aleutian Islands sablefish pot",14
"Pacific","AK Bering  Sea, Aleutian Islands flatfish trawl",1
"Pacific","AK Bering  Sea, Aleutian Islands pollock trawl",1
"Pacific","AK Bering Sea and Aleutian Islands Groundfish Trawl",3
"Pacific","AK Bering Sea and Aleutian Islands groundfish trawl",4
"Pacific","AK Bering Sea sablefish pot",14
"Pacific","AK Bering Sea, Aleutian Islands Atka mackerel trawl",21
"Pacific","AK Bering Sea, Aleutian Islands Greenland turbot longline",21
"Pacific","AK Bering Sea, Aleutian Islands Pacific cod  pot",1
"Pacific","AK Bering Sea, Aleutian Islands Pacific cod longline",20
"Pacific","AK Bering Sea, Aleutian Islands Pacific cod pot",20
"Pacific","AK Bering Sea, Aleutian Islands Pacific cod trawl",21
"Pacific","AK Bering Sea, Aleutian Islands cod longline",1
"Pacific","AK Bering Sea, Aleutian Islands crab pot",21
"Pacific","AK Bering Sea, Aleutian Islands flatfish trawl",19
"Pacific","AK Bering Sea, Aleutian Islands groundfish hand troll and dinglebar troll",6
"Pacific","AK Bering Sea, Aleutian Islands groundfish jig",7
"Pacific","AK Bering Sea, Aleutian Islands groundfish longline/set line (federally regulated waters, including miscellaneous finfish and sablefish)",3
"Pacific","AK Bering Sea, Aleutian Islands halibut longline",7
"Pacific","AK Bering Sea, Aleutian Islands pollock traw",1
"Pacific","AK Bering Sea, Aleutian Islands pollock trawl",19
"Pacific","AK Bering Sea, Aleutian Islands rockfish longline",14
"Pacific","AK Bering Sea, Aleutian Islands rockfish trawl",20
"Pacific","AK Bering Sea, Aleutian Islands sablefish longline",21
"Pacific","AK Bering Sea, Aleutian Islands sablefish pot",7
"Pacific","AK Bering Sea, Aleutian isiands flatfish trawl",1
"Pacific","AK Bering Sea, GOA finfish pot",2
"Pacific","AK Bering Sea, Gulf of Alaska finfish pot",5
"Pacific","AK Bristol Bay drift gillnet",2
"Pacific","AK Bristol Bay salmon drift gillne",1
"Pacific","AK Bristol Bay salmon drift gillnet",25
"Pacific","AK Bristol Bay salmon set gillnet",26
"Pacific","AK Bristol Bay set gillnet",2
"Pacific","AK Cook Inlet drift gillnet",2
"Pacific","AK Cook Inlet salmon drift gillnet",24
"Pacific","AK Cook Inlet salmon purse seine",18
"Pacific","AK Cook Inlet salmon set gilinet",1
"Pacific","AK Cook Inlet salmon set gillnet",27
"Pacific","AK Dungeness crab",13
"Pacific","AK Guif of Alaska Pacific cod longline",1
"Pacific","AK Gulf of Alaska Pacific cod longline",19
"Pacific","AK Gulf of Alaska Pacific cod pot",21
"Pacific","AK Gulf of Alaska Pacific cod trawl",21
"Pacific","AK Gulf of Alaska Pacific. cod longline",1
"Pacific","AK Gulf of Alaska crab pot",21
"Pacific","AK Gulf of Alaska flatfish trawl",21
"Pacific","AK Gulf of Alaska groundfish hand troll and dinglebar troll",7
"Pacific","AK Gulf of Alaska groundfish jig",7
"Pacific","AK Gulf of Alaska groundfish longline/set line (federally regulated waters, including miscellaneous finfish and sablefish)",3
"Pacific","AK Gulf of Alaska groundfish trawl",7
"Pacific","AK Gulf of Alaska halibut longline",21
"Pacific","AK Gulf of Alaska pollock trawl",20
"Pacific","AK Gulf of Alaska rockfish longline",14
"Pacific","AK Gulf of Alaska rockfish trawl",21
"Pacific","AK Gulf of Alaska sablefish longline",21
"Pacific","AK Gulf of Alaska sablefish pot",7
"Pacific","AK Kodiak food/bait herring otter trawl",7
"Pacific","AK Kodiak salmon purse seine",18
"Pacific","AK Kodiak salmon set gillnet",28
"Pacific","AK Kuskokwim, Yukon, Norton Sound, Kotzebue salmon gillnet",28
"Pacific","AK Metlakatia salmon purse seine",1
"Pacific","AK Metlakatla purse seine",2
"Pacific","AK Metlakatla salmon purse seine",20
"Pacific","AK Metlakatla/ Annette Island salmon drift gillnet",2
"Pacific","AK Metlakatla/Annette Island salmon drift gillnet",10
"Pacific","AK North Pacific halibut handline and mechanical jig",12
"Pacific","AK North Pacific halibut handline/hand troll and mechanical jig",8
"Pacific","AK North Pacific halibut,  AK bottom fish, WA/ OR/CA albacore, groundfish, bottom fish, CA halibut non-salmonid troll fisheries",1
"Pacific","AK North Pacific halibut, AK bottom fish, WA, OR, CA albacore, groundfish, bottom fish, CA halibut non-salmonid troll fisheries",5
"Pacific","AK North Pacific halibut, AK bottom fish, WA/ OR/CA albacore, groundfish, bottom fish, CA halibut non-salmonid troll fisheries",3
"Pacific","AK North Pacific halibut, AK bottom fish, WA/OR/ CA albacore, groundfish, bottom fish, CA halibut non-salmonid troll fisheries",1
"Pacific","AK North Pacific halibut, AK bottom fish, WA/OR/CA albacore, groundfish, bottom fish, CA halibut non-salmonid troll fisheries",3
"Pacific","AK North Pacific. halibut handline/hand troll and mechanical jig",1
"Pacific","AK Peninsula/ Aleutian Island salmon set gillnet",1
"Pacific","AK Peninsula/ Aleutian Islands salmon drift gillnet",1
"Pacific","AK Peninsula/ Aleutian Islands salmon set gillnet",1
"Pacific","AK Peninsula/Aleutian Island salmon set gillnet",1
"Pacific","AK Peninsula/Aleutian Islands salmon drfit gillnet",1
"Pacific","AK Peninsula/Aleutian Islands salmon drift gillnet",24
"Pacific","AK Peninsula/Aleutian Islands salmon set gillnet",25
"Pacific","AK Peninsula/Aleutians salmon drift gillnet fishery",2
"Pacific","AK Prince William Sound salmon drift gillnet",26
"Pacific","AK Prince William Sound salmon set gillnet",26
"Pacific","AK Prince William Sound set gillnet",2
"Pacific","AK Prince Williams Sound salmon drift gillnet",1
"Pacific","AK Southeast AK Alaska herring food/bait pound net",1
"Pacific","AK Southeast Alaska crab pot",21
"Pacific","AK Southeast Alaska herring food/bait pound net",3
"Pacific","AK Southeast Alaska salmon drift gillnet",1
"Pacific","AK Southeast Alaska salmon purse seine",1
"Pacific","AK Southeast Alaska shrimp pot",21
"Pacific","AK Southeast herring roe/food/bait pound net",23
"Pacific","AK Southeast salmon drift gillnet",24
"Pacific","AK Southeast salmon purse seine",27
"Pacific","AK State-managed water of Cook Inlet, Kachemak Bay, Prince William Sound, Southeast AK groundfish trawl",1
"Pacific","AK State-managed waters longline/setline (including sablefish, rockfish, lingcod, and miscellaneous finfish)",6
"Pacific","AK State-managed waters of Cook Inlet, Kachemak Bay, Prince William Sound, Southeast AK groundfish trawl",4
"Pacific","AK Yakutat salmon set gillnet",27
"Pacific","AK abalone",21
"Pacific","AK clam",24
"Pacific","AK clam hand shovel",4
"Pacific","AK clam mechanical/hydraulic",1
"Pacific","AK clam mechanical/hydraulic fishery",2
"Pacific","AK clam mehanical/hydraulic",1
"Pacific","AK crustacean pot",7
"Pacific","AK dungeness crab",14
"Pacific","AK food/bait herring trawl",21
"Pacific","AK halibut jig",7
"Pacific","AK halibut longline/set line (State and Federal waters)",13
"Pacific","AK halibut longline/set line (state and Federal waters)",7
"Pacific","AK halibut, longline/set line (state and Federal waters)",1
"Pacific","AK herring spawn on kelp",23
"Pacific","AK herring spawn on kelp pound net",24
"Pacific","AK herring spawn-on-kelp",4
"Pacific","AK miscellaneous finfish beach seine",21
"Pacific","AK miscellaneous finfish handline and mechanical jig",10
"Pacific","AK miscellaneous finfish handline/hand troll and mechanical jig",9
"Pacific","AK miscellaneous finfish otter / beam trawl",3
"Pacific","AK miscellaneous finfish otter or beam trawl",13
"Pacific","AK miscellaneous finfish otter/beam trawl",5
"Pacific","AK miscellaneous finfish pair trawl",7
"Pacific","AK miscellaneous finfish purse seine",19
"Pacific","AK miscellaneous finfish set gillnet",21
"Pacific","AK miscellaneous invergebrates handpick",1
"Pacific","AK miscellaneous invertebrates handpick",6
"Pacific","AK north Pacific halibut, AK bottom fish, WA, OR, CA albacore, groundfish, bottom fish, CA halibut non-salmonid troll",1
"Pacific","AK north Pacific halibut, AK bottom fish, WA, OR, CA albacore, groundfish, bottom fish, CA halibut non-salmonid troll fisheries",4
"Pacific","AK north Pacific halibut, AK bottom fish, WA, OR, CA albacore, groundfish, bottom fish, CA halibut non-salmonid troll fisheries.",1
"Pacific","AK octopus/squid handline",21
"Pacific","AK octopus/squid longline",28
"Pacific","AK octopus/squid pot",24
"Pacific","AK octopus/squid purse seine",21
"Pacific","AK octopus/squid ‘‘other’’",2
"Pacific","AK octopus/squid ≥other≥",1
"Pacific","AK other finfish handline and mechanical jig",2
"Pacific","AK pair trawl",2
"Pacific","AK roe herring and food/bait herring beach seine",27
"Pacific","AK roe herring and food/bait herring gillnet",28
"Pacific","AK roe herring and food/bait herring purse seine",28
"Pacific","AK salmon beach seine",28
"Pacific","AK salmon purse seine (Prince William Sound, Chignik, Alaska Peninsula)",7
"Pacific","AK salmon purse seine (except Southeast Alaska, which is in Category II)",11
"Pacific","AK salmon purse seine (except Southeast Alaska, which is in Category II).",1
"Pacific","AK salmon purse seine (excluding salmon purse seine fisheries listed as Category 11)",1
"Pacific","AK salmon purse seine (excluding salmon purse seine fisheries listed as Category II)",6
"Pacific","AK salmon purse seine (excluding salmon purse seine fisheries listed elsewhere)",2
"Pacific","AK salmon troll",28
"Pacific","AK scallop dredge",7
"Pacific","AK shrimp otter trawl and beam trawl",7
"Pacific","AK shrimp otter trawl and beam trawl (statewide and Cook Inlet)",20
"Pacific","AK shrimp otter trawl and beam trawl (statewide and Cook Inlet).",1
"Pacific","AK shrimp pot, except Southeast",16
"Pacific","AK snail pot",17
"Pacific","AK southeast herring roe/food/bait pound net",1
"Pacific","AK southern Bering Sea, Aleutian Islands and Western Gulf of Alaska sablefish longline/set line (federally regulated waters).",1
"Pacific","AK southern Bering Sea, Aleutian Islands, and Western Gulf of Alaska sablefish longline/set line (federally regulated waters)",3
"Pacific","AK state waters groundfish longline/set line",1
"Pacific","AK state waters sablefish long line/set line",3
"Pacific","AK state-managed waters groundfish longline/ setline (including sablefish, rockfish, and miscellaneous finfish)",1
"Pacific","AK state-managed waters groundfish longline/set line(including sablefish, rockfish, and miscellaneous finfish)",1
"Pacific","AK state-managed waters groundfish longline/setline (including sablefish, rockfish, and miscellaneous finfish)",6
"Pacific","AK state-managed waters longline/setline (including sablefish, rockfish, lingcod, and miscellaneous finfish)",10
"Pacific","AK state-managed waters of Cook Inlet, Kachemak Bay, Prince William Sound, Southeast AK groundfish trawl",15
"Pacific","AK state-managed waters of Cook Inlet, Kachemak Bay, Prince William Sound, Southeast AK groundfish trawl.",1
"Pacific","AK state-managed waters of Prince William Sound groundfish trawl",6
